text,label_class,label
心肌梗塞怎么办呢？听病友推荐说除了吃阿司匹林外可以搭配天然生物调理的微络康多肽地龙蛋白一起，这样可以很好的起到预防调理改善作用，是吗？,其他,12
请问一下那个心悸是不是可以用七叶神安片来治疗呢？,禁忌,9
体育中考前能不能喝葡萄糖,其他,12
孩子的肚子处发现21/3.2毫米的板块怎么办，说是血管瘤，内蒙古婴儿的血管瘤在肚子可以治不？请问大夫？,其他,12
肛门口长了包，有时脱出，肿胀。痔疮是怎么回事？北京治痔疮最好的医院是哪间？,其他,12
"舌头上的血管瘤能治疗好吗？,我家孩子舌头上长有血管瘤，红色的，有凸起，内蒙古婴儿在舌头上的血管瘤危害大不大？",治疗方法,5
成都治疗便秘价格，便秘喝肠清茶好吗?,治疗方法,5
肝血管瘤有哪些治疗方法,治疗方法,5
当自己听不见自己说话声音的时候，大脑能不能感知自己说话的内容,相关病症,4
男51岁糖尿病多年；2015年5月脑梗塞肢体功能恢复不全后又肾衰竭尿毒症、糖尿病综合征、血液透析4个月了；最近浑身无力迷糊高压150血糖高、怎么办？,治疗方法,5
外痔早期有哪些症状？,相关病症,4
宝宝几个月吃鱼肝油好的啊？大家告诉我下吧，我真的是很不太了解的。,禁忌,9
如何鉴别骨葆片这个药品，是正品还是伪劣品呢？,其他,12
以前做过一次痔疮手术，已经有五六年了，最近发现好像又有一颗痔疮，很小不痛，而且有点痒，应如何治疗？,治疗方法,5
月经推迟了三天之前一直都有提前现象可是进行了一个月的性生活之后这个月就推迟了三天了但是我吃了带走人工麝香的药没有问题呀这不是怀孕吧,病因,1
请问月经一向很正常这个月晚了三天这怎么回事？,临床表现(病症表现),3
强迫症会发展成什么病,相关病症,4
坐骨神经痛吃什么药？能不能治好？有腰椎间盘膨出，最近坐久了，站久了，右腿坐骨神经隐痛，不知道吃什么药治疗能好呢？请医生介绍啊。,其他,12
为什么感觉早搏，心电图检查却正常？需要做那些检查？,其他,12
肚子旁边都很痛什么东西都不想吃吃了就吐。,临床表现(病症表现),3
孩子挂了一个星期的吊针，肚子还痛怎么回事？,治疗方法,5
维思通利培酮口服液在哪买？一定要在医院买吗？求解！！！,其他,12
一个月.前有脑梗及(高血压，正常后出院，，血压药一直吃，现在血压150/90吃施慧达几天了，仍没效果，是什么原因？,临床表现(病症表现),3
